"LIGNE 857S"
"Horaires valables du 01/09/2025 au 31/08/2026"
""
"857S - Ets scolaires - Orchies / Douai Aller"
"Course N°                    321   361  383 381"
"Jours de circulation        LMaMe LMaMe Me LMa"
"Validité du"
"JV    JV      JV"
"01/09/2025 au 31/08/2026"
"Période scolaire (PS)"
"Vacances scolaires (VS)"
"ORCHIES                    Gare SNCF                  06h35   06h40   16h45 16h55"
"ORCHIES                    Centre (Place De Lattre)   06h37   06h42   16h47 16h57"
"ORCHIES                    Zone de l'Europe           06h39   06h44   16h49 16h59"
"COUTICHES                  Houssoye                   06h44   06h49   16h58 17h08"
"COUTICHES                  Place                      06h45   06h51   17h00 17h10"
"COUTICHES                  Calvaire                   06h46   06h53   17h03 17h13"
"COUTICHES                  Périsselle                 06h47   06h55   17h04 17h14"
"FLINES LEZ RACHES          Madeleine                          06h57   17h06 17h16"
"FLINES LEZ RACHES          Mairie                                     17h08 17h18"
"FLINES LEZ RACHES          Place                                      17h09 17h19"
"FLINES LEZ RACHES          Auberge                                    17h10 17h20"
"FLINES LEZ RACHES          Sablière                                   17h11 17h21"
"RACHES                     Bois Vert                          07h00   17h13 17h23"
"RACHES                     Cul Brûlé                          07h01   17h14 17h24"
"RACHES                     Placette                           07h02   17h15 17h25"
"RACHES                     Mairie                             07h04   17h17 17h27"
"RACHES                     Le Pont                            07h05   17h18 17h28"
"DOUAI                      Arkéos                             07h06   17h19 17h29"
"DOUAI                      Frais Marais Eglise                07h07   17h20 17h30"
"DOUAI                      Transformateur                     07h08   17h21 17h31"
"DOUAI                      Lespagnol                          07h11   17h23 17h33"
"WAZIERS                    Langevin                   07h05   07h13   17h25 17h35"
"DOUAI                      Gayant Expo                07h07   07h15   17h27 17h37"
"DOUAI                      Saint Michel               07h10   07h18"
"DOUAI                      Arsenal                    07h12   07h20"
"DOUAI                      Place Carnot               07h14   07h23   17h32 17h42"
"DOUAI                      Place De Gaulle            07h18   07h28   17h36 17h46"
"DOUAI                      Lycée E. Lemonnier                 07h40"
""
""
""
""
"Powered by TCPDF (www.tcpdf.org)"
""
