,N° Ligne,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,210,180,190,200
FLINES LEZ RACHES,Madeleine,06h31,06h43,07h21,07h47,08h36,09h36,10h33,11h38,12h54,,13h43,14h53,15h53,16h49,16h56,17h56,,,18h56,,19h51
COUTICHES,Périsselle,06h33,06h45,07h23,07h49,08h38,09h38,10h35,11h40,12h56,,13h45,14h55,15h55,16h51,16h58,17h58,,,18h58,,19h53
COUTICHES,Calvaire,06h34,06h47,07h24,07h50,08h39,09h39,10h36,11h41,12h57,,13h46,14h56,15h56,16h52,16h59,17h59,,,18h59,,19h54
COUTICHES,Place,06h35,06h49,07h25,07h51,08h40,09h40,10h37,11h42,12h58,,13h47,14h57,15h57,16h53,17h00,18h00,,,19h00,,19h55
COUTICHES,Houssoye,06h36,06h51,07h27,07h53,08h41,09h41,10h38,11h43,12h59,,13h48,14h58,15h58,16h54,17h01,18h01,,,19h01,,19h56
COUTICHES,Les 5 Chemins,,,,,,,,,,13h02,,,,,,,17h57,17h57,,19h09,
COUTICHES,Le Bru,,,,,,,,,,13h04,,,,,,,17h59,17h59,,19h11,
BOUVIGNIES,Calvaire,,,,,,,,,,13h06,,,,,,,18h01,18h01,,19h13,
BOUVIGNIES,Le Pigeonnier,,,,,,,,,,13h08,,,,,,,18h03,19h03,,19h15,
MARCHIENNES,Sec Marais,,,,,,,,,,13h10,,,,,,,18h05,18h05,,19h17,
BEUVRY LA FORET,Grand Mariage,,,,,,,,,,13h12,,,,,,,18h07,18h07,,19h19,
BEUVRY LA FORET,Les Arcins,,,,,,,,,,13h13,,,,,,,18h08,18h08,,19h20,
ORCHIES,Zone de l'Europe,,,,,08h46,09h46,10h43,11h48,13h04,,13h53,15h03,16h03,16h59,17h06,18h06,,,19h06,,20h01
ORCHIES,Collège du Pévèle,,,,08h08,,,,,,,,,,,,,,,,,
ORCHIES,Centre (Place De Lattre),06h43,07h02,07h43,08h16,08h48,09h48,10h45,11h50,13h06,,13h55,15h05,16h05,17h01,17h08,18h08,,,19h08,,20h03
ORCHIES,Gare SNCF,06h45,07h04,07h45,08h18,08h50,09h50,10h47,11h52,13h08,13h18,13h57,15h07,16h07,17h03,17h10,18h10,18h13,18h13,19h10,19h25,20h05
